age,gender,region,feat1,feat2,y_true_bin,y_pred_bin,y_true_reg,y_pred_reg
49,0,north,0.744,-1.515,0,0,48.96,52.4
48,0,north,1.133,0.223,1,1,58.74,61.83
45,1,south,0.634,1.11,1,1,53.0,49.61
37,0,south,2.342,0.639,0,1,60.41,64.21
51,0,north,-0.165,-1.225,1,1,47.68,46.18
36,0,mid,-0.889,-0.322,0,0,43.37,44.86
23,1,south,0.788,0.641,1,1,56.64,56.78
18,1,south,-0.54,1.3,0,0,47.13,45.97
48,1,mid,1.501,-0.145,0,1,61.08,70.5
50,0,south,0.62,-1.163,1,1,52.7,60.78
28,0,mid,-0.786,1.003,0,0,41.37,40.72
44,0,north,1.652,1.105,0,0,59.95,66.56
29,0,mid,-1.618,0.37,0,1,41.18,40.17
57,0,north,1.929,-0.609,0,1,59.17,61.36
28,1,south,0.718,0.907,0,0,56.72,57.91
43,1,north,0.623,0.609,1,1,52.59,45.78
45,0,south,0.24,0.838,0,1,53.52,54.52
77,0,mid,0.883,-1.249,1,1,54.41,53.95
41,0,south,3.31,0.116,1,1,65.05,64.94
46,0,mid,3.101,-0.159,0,1,66.52,58.98
27,0,north,0.235,-1.11,1,1,49.98,50.31
59,1,mid,0.245,0.716,0,0,53.68,45.91
24,0,mid,-1.046,0.035,0,0,46.69,45.72
46,1,mid,2.977,0.09,0,1,65.01,61.87
51,0,north,3.713,0.396,0,1,69.79,61.19
33,0,north,1.297,-1.419,0,0,57.61,62.33
33,1,north,2.247,0.446,1,1,60.69,56.7
46,1,mid,1.392,0.931,1,1,58.75,53.47
18,1,north,-0.189,0.784,0,0,48.6,48.28
21,1,mid,0.001,1.576,1,1,51.24,51.24
39,1,north,1.423,-0.701,0,0,55.21,57.59
36,0,mid,-1.529,-1.508,0,0,42.56,43.38
49,0,south,2.941,0.239,1,1,65.54,63.42
33,1,mid,3.323,0.955,0,0,65.04,62.35
38,0,south,-0.149,2.12,0,1,48.43,48.53
43,1,south,-1.355,1.117,1,1,42.16,42.98
57,0,south,2.351,-0.874,1,1,63.21,68.1
42,1,north,0.346,1.306,0,1,50.29,48.75
26,1,south,-2.371,-0.346,1,1,39.03,36.97
49,1,north,1.809,-0.986,0,0,62.1,68.53
45,0,north,2.156,2.609,0,1,61.5,68.16
23,1,south,-0.477,0.826,1,1,44.4,44.67
43,1,mid,4.113,1.215,0,0,70.83,73.21
57,0,mid,1.139,0.564,0,0,57.79,56.22
53,1,mid,1.247,2.312,1,1,55.67,48.67
63,0,north,2.101,0.284,0,1,62.74,60.41
46,0,north,0.96,1.218,0,0,56.05,54.49
52,1,north,0.238,-0.527,0,0,52.05,50.17
37,0,mid,1.386,-1.392,1,0,56.42,52.05
49,1,north,1.446,1.927,0,1,56.22,54.03
60,1,south,-0.451,1.975,0,0,47.25,47.83
43,1,mid,1.669,1.011,0,0,58.49,57.99
38,0,north,1.86,0.226,0,0,60.36,60.43
50,0,south,2.803,0.166,1,1,64.87,50.38
54,1,north,2.529,-0.188,1,1,62.06,60.61
63,0,mid,2.484,1.539,1,0,62.57,61.72
30,0,mid,1.457,0.659,0,0,58.08,56.85
18,0,mid,-0.02,0.506,0,1,46.67,44.94
32,0,south,1.856,0.376,1,1,57.76,58.18
51,1,mid,1.049,1.548,1,1,53.67,48.0
44,0,mid,0.745,0.505,0,1,53.34,54.81
48,0,north,-1.379,0.745,1,1,42.58,42.16
54,1,south,1.656,-0.669,0,1,57.79,62.15
51,0,south,1.518,0.51,0,0,55.87,54.86
40,0,north,3.451,2.187,1,0,68.63,58.08
52,1,north,0.337,-0.019,1,1,52.27,52.01
56,1,north,0.005,0.371,1,1,46.77,46.44
59,0,north,1.641,0.892,1,1,58.26,62.86
38,1,north,-0.739,1.457,0,0,44.08,43.63
37,1,south,-1.189,1.124,1,1,47.49,47.09
69,1,north,2.061,-1.118,0,0,59.42,65.44
34,0,south,-0.732,0.502,1,1,45.58,49.08
42,0,south,1.111,-1.184,0,0,55.75,58.03
40,1,south,0.021,-0.325,0,0,49.74,50.77
58,0,south,1.342,0.548,1,1,56.63,59.81
39,0,north,-0.011,-0.296,0,0,53.07,55.38
54,0,south,0.616,0.81,0,1,53.56,59.71
40,1,south,2.871,3.648,0,0,66.06,67.27
52,1,north,0.658,1.277,0,0,55.58,56.02
50,0,north,3.558,0.723,1,0,65.87,66.87
40,1,north,2.6,-0.396,1,1,66.41,83.25
35,1,north,-0.364,-0.143,0,0,49.59,49.6
60,0,south,0.843,-1.064,0,0,56.16,54.51
33,0,north,2.042,-0.533,1,0,58.52,57.43
41,1,south,2.73,-0.592,1,1,65.32,65.22
