sex;age;race;juv_fel_count;juv_misd_count;juv_other_count;priors_count;c_charge_degree;decile_score;true_class;predicted_class;error;error_type
Male;29;African-American;0;0;0;0;F;1;0;0;0;TN
Male;28;Other;0;0;0;3;F;2;0;0;0;TN
Male;67;Asian;0;0;0;0;M;1;0;0;0;TN
Female;46;African-American;0;0;0;1;M;5;0;0;0;TN
Male;25;Other;0;0;0;0;F;2;0;0;0;TN
Male;24;African-American;0;2;1;8;F;9;1;1;0;TP
Male;29;Other;0;0;0;3;F;6;0;0;0;TN
Male;45;African-American;0;0;0;2;M;6;0;0;0;TN
Male;31;African-American;0;0;0;5;F;5;1;0;1;FN
Male;23;Caucasian;0;0;0;0;F;3;1;0;1;FN
Male;21;African-American;0;0;0;0;F;8;1;1;0;TP
Male;61;Caucasian;0;0;0;0;M;1;0;0;0;TN
Female;51;Caucasian;0;0;0;5;M;7;1;0;1;FN
Male;32;Other;0;0;0;1;F;1;0;0;0;TN
Male;43;Caucasian;0;0;0;9;F;6;0;0;0;TN
Male;32;Other;0;0;0;0;M;1;0;0;0;TN
Male;36;African-American;0;0;0;0;F;5;0;0;0;TN
Male;58;Caucasian;0;0;0;3;F;4;1;0;1;FN
Male;32;African-American;0;0;0;1;M;2;0;0;0;TN
Male;57;African-American;0;0;0;12;F;9;0;1;1;FP
Male;37;African-American;0;0;0;2;F;7;0;0;0;TN
Male;44;African-American;0;0;0;6;F;6;0;0;0;TN
Male;51;African-American;0;0;0;8;F;2;0;0;0;TN
Male;45;Hispanic;0;0;0;4;F;6;0;0;0;TN
Male;28;Caucasian;0;0;2;9;M;8;0;1;1;FP
Male;45;African-American;0;0;0;8;F;7;1;0;1;FN
Male;48;Other;0;0;0;1;F;1;0;0;0;TN
Male;26;African-American;0;1;1;13;F;8;1;1;0;TP
Male;34;Caucasian;1;0;0;9;F;6;1;0;1;FN
Male;25;African-American;0;0;0;0;F;3;0;0;0;TN
Male;31;African-American;0;0;0;8;M;7;1;0;1;FN
Male;43;African-American;0;0;0;1;F;1;0;0;0;TN
Male;30;African-American;0;0;0;0;M;1;0;0;0;TN
Male;50;Caucasian;0;0;0;0;M;1;0;0;0;TN
Female;31;African-American;0;0;0;2;F;2;0;0;0;TN
Female;33;Caucasian;0;0;0;7;M;6;0;0;0;TN
Male;32;African-American;0;0;0;1;F;5;1;0;1;FN
Female;46;Caucasian;0;0;0;0;M;1;1;0;1;FN
Male;22;Hispanic;0;0;0;0;F;6;0;0;0;TN
Male;37;African-American;0;0;0;8;F;5;1;0;1;FN
Female;32;Caucasian;0;0;0;6;F;6;1;0;1;FN
Female;23;African-American;0;0;0;2;F;7;1;0;1;FN
Male;21;Caucasian;0;0;0;0;F;5;0;0;0;TN
Male;22;Other;0;0;0;1;F;9;0;1;1;FP
Male;52;Other;0;0;0;2;F;1;0;0;0;TN
Male;49;Caucasian;0;0;0;2;M;2;0;0;0;TN
Male;55;Caucasian;0;0;0;3;F;7;1;0;1;FN
Male;22;African-American;0;0;0;0;F;2;0;0;0;TN
Male;45;Hispanic;0;0;0;0;F;1;0;0;0;TN
Female;31;African-American;0;0;0;7;F;5;1;0;1;FN
Male;22;Caucasian;0;0;1;0;M;2;1;0;1;FN
Male;28;African-American;0;0;0;5;M;6;0;0;0;TN
Male;21;African-American;0;0;0;1;F;5;1;0;1;FN
Male;37;Hispanic;0;0;1;2;M;3;0;0;0;TN
Male;30;African-American;0;2;0;21;F;7;1;0;1;FN
Male;22;African-American;0;0;1;13;F;10;1;1;0;TP
Male;35;African-American;0;1;0;23;F;9;1;1;0;TP
Male;28;African-American;2;1;0;11;F;10;0;1;1;FP
Male;24;African-American;0;0;0;1;F;3;0;0;0;TN
Male;44;African-American;0;0;0;9;F;3;0;0;0;TN
Male;25;Hispanic;0;0;4;5;F;8;0;1;1;FP
Male;32;African-American;1;3;0;24;F;7;1;0;1;FN
Male;29;African-American;0;0;0;5;F;3;1;0;1;FN
Female;24;African-American;0;0;0;1;F;5;0;0;0;TN
Male;57;African-American;0;0;0;19;F;3;0;0;0;TN
Male;21;Other;0;0;0;0;M;6;0;0;0;TN
Male;28;Caucasian;0;0;0;0;F;2;0;0;0;TN
Male;51;Caucasian;0;0;0;0;M;1;0;0;0;TN
Male;34;African-American;0;0;0;6;F;9;1;1;0;TP
Male;26;African-American;0;0;0;0;M;2;1;0;1;FN
Male;20;African-American;0;0;3;0;F;6;1;0;1;FN
Male;25;African-American;0;1;0;6;M;7;0;0;0;TN
Male;19;Caucasian;0;0;0;0;M;6;1;0;1;FN
Male;49;Caucasian;0;0;0;1;F;1;1;0;1;FN
Male;57;African-American;0;0;0;27;M;10;0;1;1;FP
Female;27;African-American;0;0;0;0;M;2;0;0;0;TN
Male;66;Caucasian;0;0;0;1;M;1;0;0;0;TN
Female;25;African-American;0;0;0;4;M;7;1;0;1;FN
Male;21;Caucasian;0;0;0;0;F;3;0;0;0;TN
Male;45;Caucasian;0;0;0;1;F;2;0;0;0;TN
Male;38;African-American;0;0;0;6;F;6;1;0;1;FN
Male;37;African-American;2;3;0;24;F;8;0;1;1;FP
Male;44;Caucasian;0;0;0;13;F;9;1;1;0;TP
Male;64;African-American;0;0;0;0;F;4;0;0;0;TN
Male;30;African-American;0;0;0;1;F;6;1;0;1;FN
Male;61;African-American;0;0;0;1;M;1;0;0;0;TN
Male;33;Caucasian;0;0;0;0;F;3;0;0;0;TN
Female;49;Caucasian;0;0;0;8;F;2;0;0;0;TN
Male;23;African-American;0;0;0;0;F;7;0;0;0;TN
Male;33;African-American;0;0;0;14;F;8;0;1;1;FP
Male;21;Caucasian;0;0;0;0;F;9;1;1;0;TP
Female;30;Caucasian;0;0;0;2;F;10;1;1;0;TP
Male;26;Hispanic;0;0;1;7;M;4;0;0;0;TN
Male;35;Other;0;0;0;3;M;1;1;0;1;FN
Male;27;African-American;0;0;1;2;M;9;1;1;0;TP
Male;38;Caucasian;0;0;0;1;M;6;0;0;0;TN
Male;48;African-American;0;0;0;14;F;9;1;1;0;TP
Male;26;Caucasian;0;0;0;0;M;2;0;0;0;TN
Male;24;African-American;0;1;0;4;F;8;1;1;0;TP
Female;28;African-American;0;0;0;2;F;5;1;0;1;FN
Female;44;Caucasian;0;0;0;4;F;6;1;0;1;FN
Male;23;Caucasian;0;0;1;2;F;7;1;0;1;FN
Female;34;Caucasian;0;0;0;1;F;6;1;0;1;FN
Male;20;Caucasian;0;1;0;1;F;5;1;0;1;FN
Male;63;Other;0;0;0;23;F;4;1;0;1;FN
Female;36;African-American;0;0;0;0;M;1;0;0;0;TN
Male;58;Caucasian;0;0;0;1;F;1;0;0;0;TN
Male;25;African-American;0;0;0;7;F;7;1;0;1;FN
Male;46;Caucasian;0;0;0;5;M;3;0;0;0;TN
Female;35;Caucasian;0;0;0;4;F;3;0;0;0;TN
Male;23;African-American;0;0;0;3;F;7;0;0;0;TN
Male;40;Caucasian;0;0;0;1;F;1;0;0;0;TN
Male;31;Hispanic;0;0;0;3;F;3;0;0;0;TN
Female;34;Hispanic;0;0;0;5;F;4;0;0;0;TN
Male;23;African-American;0;0;0;3;M;6;1;0;1;FN
Male;27;Caucasian;0;0;0;0;M;3;1;0;1;FN
Female;26;African-American;0;0;0;3;F;5;0;0;0;TN
Male;49;African-American;0;0;0;1;F;1;0;0;0;TN
Female;47;Hispanic;0;0;0;0;M;1;0;0;0;TN
Female;45;Native American;0;0;0;1;M;2;0;0;0;TN
Male;47;African-American;0;0;0;6;F;2;0;0;0;TN
Male;34;African-American;0;0;0;7;F;6;1;0;1;FN
Male;45;Hispanic;0;0;0;1;M;8;0;1;1;FP
Male;27;African-American;0;0;0;10;F;9;0;1;1;FP
Female;52;Caucasian;0;0;0;0;M;1;0;0;0;TN
Male;26;African-American;0;0;0;0;M;3;1;0;1;FN
Male;25;African-American;0;0;1;9;F;7;0;0;0;TN
Male;51;African-American;0;0;0;1;F;2;0;0;0;TN
Female;29;African-American;0;0;0;1;M;2;1;0;1;FN
Male;39;African-American;0;0;0;1;F;3;0;0;0;TN
Male;46;Caucasian;0;0;0;0;F;1;0;0;0;TN
Male;28;Caucasian;0;0;0;6;F;4;0;0;0;TN
Male;57;African-American;0;0;0;0;F;1;0;0;0;TN
Male;23;Hispanic;0;0;0;2;F;5;0;0;0;TN
Male;34;African-American;0;0;0;27;F;9;1;1;0;TP
Male;27;African-American;0;0;0;3;F;3;0;0;0;TN
Male;25;African-American;0;0;1;7;M;9;1;1;0;TP
Male;31;Caucasian;0;0;0;1;F;7;1;0;1;FN
Male;37;African-American;0;0;0;8;F;2;0;0;0;TN
Male;51;African-American;0;0;0;0;F;2;1;0;1;FN
Male;51;Hispanic;0;0;0;3;M;2;0;0;0;TN
Male;28;African-American;0;1;0;8;F;6;1;0;1;FN
Male;56;Caucasian;0;0;0;4;F;1;0;0;0;TN
Male;45;African-American;0;0;0;15;F;9;1;1;0;TP
Male;26;Caucasian;0;0;0;7;F;6;1;0;1;FN
Male;33;Caucasian;0;0;0;7;F;8;1;1;0;TP
Male;23;Caucasian;0;0;3;0;M;4;0;0;0;TN
Male;31;African-American;0;0;0;0;M;2;0;0;0;TN
Male;31;Other;0;0;0;0;M;3;0;0;0;TN
Male;19;Hispanic;1;0;0;1;F;9;1;1;0;TP
Male;32;Caucasian;0;0;0;0;F;1;0;0;0;TN
Male;30;Caucasian;0;0;0;1;M;3;1;0;1;FN
Female;48;Hispanic;0;0;0;9;F;6;0;0;0;TN
Male;66;Caucasian;0;0;0;1;F;1;0;0;0;TN
Female;40;African-American;0;0;0;0;F;1;0;0;0;TN
Male;59;African-American;0;0;0;4;M;2;0;0;0;TN
Male;25;African-American;0;0;0;5;F;7;0;0;0;TN
Male;27;African-American;0;0;0;3;M;7;0;0;0;TN
Male;22;African-American;0;0;0;0;F;3;0;0;0;TN
Male;58;Caucasian;0;0;0;1;F;1;0;0;0;TN
Male;49;African-American;0;0;0;1;M;1;0;0;0;TN
Male;29;Caucasian;0;0;0;2;F;3;0;0;0;TN
Female;44;Caucasian;0;0;0;11;F;7;1;0;1;FN
Male;24;African-American;0;0;0;2;F;4;0;0;0;TN
Male;27;African-American;0;0;0;0;F;8;1;1;0;TP
Female;34;African-American;0;0;0;5;F;5;1;0;1;FN
Male;24;Caucasian;0;0;0;0;F;5;0;0;0;TN
Female;35;Caucasian;0;1;0;3;F;4;0;0;0;TN
Male;65;Caucasian;0;0;0;4;M;3;0;0;0;TN
Male;29;African-American;0;2;1;7;F;8;1;1;0;TP
Male;30;African-American;1;0;0;5;F;9;1;1;0;TP
Male;23;African-American;0;1;1;1;F;2;1;0;1;FN
Male;32;Caucasian;0;0;0;2;F;4;1;0;1;FN
Male;22;Caucasian;0;0;0;2;F;5;0;0;0;TN
Male;21;African-American;0;0;0;0;M;3;0;0;0;TN
Female;43;Caucasian;0;0;0;0;M;2;0;0;0;TN
Male;29;African-American;0;0;0;0;F;8;0;1;1;FP
Male;43;African-American;0;0;0;1;F;3;0;0;0;TN
Male;25;African-American;0;0;0;1;F;2;0;0;0;TN
Male;47;Caucasian;0;0;0;0;M;1;0;0;0;TN
Female;21;African-American;0;0;0;0;F;5;0;0;0;TN
Female;25;African-American;0;0;0;1;M;6;0;0;0;TN
Male;54;Caucasian;0;0;0;0;M;1;0;0;0;TN
Male;34;African-American;0;0;1;3;F;1;1;0;1;FN
Female;28;African-American;0;0;0;2;M;2;0;0;0;TN
Female;53;Caucasian;0;0;0;4;F;1;1;0;1;FN
Male;54;African-American;0;0;0;0;M;1;0;0;0;TN
Male;37;Hispanic;0;0;0;3;F;1;1;0;1;FN
Male;34;African-American;0;0;0;2;F;4;0;0;0;TN
Male;50;Hispanic;0;0;0;11;M;9;0;1;1;FP
Female;60;Caucasian;0;0;0;0;F;1;1;0;1;FN
Male;22;African-American;0;0;0;0;F;4;0;0;0;TN
Male;51;African-American;0;0;0;3;F;7;0;0;0;TN
Male;29;African-American;0;0;0;0;F;2;1;0;1;FN
Female;28;African-American;0;0;0;1;F;5;0;0;0;TN
Male;36;Caucasian;0;0;0;6;F;7;0;0;0;TN
Male;28;African-American;0;0;1;5;M;6;0;0;0;TN
Male;33;Caucasian;0;0;0;0;F;1;1;0;1;FN
Male;43;Caucasian;0;0;0;4;M;2;0;0;0;TN
Male;45;Hispanic;0;0;0;1;M;6;0;0;0;TN
Male;32;Caucasian;0;0;0;5;F;5;1;0;1;FN
Female;35;African-American;0;0;0;0;F;3;1;0;1;FN
Male;23;African-American;0;0;0;1;F;4;1;0;1;FN
Male;41;Hispanic;0;0;0;1;M;1;0;0;0;TN
Male;25;Other;20;0;0;24;F;10;1;1;0;TP
Male;35;Hispanic;0;1;0;12;F;9;0;1;1;FP
Male;25;African-American;0;0;0;4;F;6;1;0;1;FN
Male;69;Caucasian;0;0;0;6;F;2;1;0;1;FN
Male;24;Asian;0;0;0;0;M;3;0;0;0;TN
Male;21;African-American;0;0;0;3;F;6;1;0;1;FN
Male;28;Hispanic;0;0;0;0;F;4;0;0;0;TN
Male;47;African-American;0;0;0;23;F;7;1;0;1;FN
Male;59;Other;0;0;0;1;F;1;0;0;0;TN
Male;29;African-American;0;1;0;13;F;10;1;1;0;TP
Male;36;Caucasian;0;0;0;14;F;4;1;0;1;FN
Male;26;African-American;0;0;0;9;F;8;1;1;0;TP
Male;31;Other;0;0;0;0;M;1;0;0;0;TN
Male;32;African-American;0;0;0;8;F;3;1;0;1;FN
Female;27;Caucasian;0;0;0;3;F;7;1;0;1;FN
Male;28;Caucasian;0;0;0;0;F;7;0;0;0;TN
Male;48;Caucasian;0;0;0;1;M;1;1;0;1;FN
Male;23;Caucasian;0;0;0;2;F;7;1;0;1;FN
Male;44;Caucasian;0;0;0;0;M;1;0;0;0;TN
Male;42;African-American;0;0;0;7;M;5;0;0;0;TN
Male;39;African-American;0;0;0;5;F;7;0;0;0;TN
Female;46;Hispanic;0;0;0;2;F;1;0;0;0;TN
Male;55;Caucasian;0;0;0;0;M;5;0;0;0;TN
Male;27;African-American;0;0;0;5;F;9;1;1;0;TP
Female;31;Caucasian;0;0;0;0;M;9;0;1;1;FP
Male;25;African-American;0;0;0;0;F;2;0;0;0;TN
Male;32;Caucasian;0;0;2;6;M;7;0;0;0;TN
Male;36;African-American;0;0;0;2;F;5;0;0;0;TN
Male;21;African-American;0;0;0;3;F;7;1;0;1;FN
Male;39;Caucasian;0;0;0;2;M;4;0;0;0;TN
Female;26;African-American;0;0;0;0;M;2;0;0;0;TN
Male;28;African-American;0;0;0;8;F;8;1;1;0;TP
Male;67;Caucasian;0;0;0;2;M;1;1;0;1;FN
Female;22;Other;0;0;0;0;F;4;0;0;0;TN
Male;37;Caucasian;0;0;0;3;M;1;0;0;0;TN
Male;23;African-American;0;0;0;2;M;8;1;1;0;TP
Female;49;African-American;0;0;0;14;M;7;1;0;1;FN
Male;32;Caucasian;0;0;0;9;M;7;1;0;1;FN
Male;41;Caucasian;0;0;0;9;M;6;0;0;0;TN
Male;25;African-American;0;0;0;1;M;3;0;0;0;TN
Female;57;Caucasian;0;0;0;3;F;1;0;0;0;TN
Male;58;Caucasian;0;0;0;0;M;1;0;0;0;TN
Male;44;African-American;2;0;0;19;M;9;1;1;0;TP
Male;28;African-American;0;0;0;1;F;4;1;0;1;FN
Female;39;African-American;0;0;0;0;F;5;1;0;1;FN
Male;54;Caucasian;0;0;0;0;F;1;0;0;0;TN
Male;21;Hispanic;0;0;0;0;M;4;1;0;1;FN
Male;43;Caucasian;0;0;0;0;M;4;0;0;0;TN
Male;31;African-American;0;0;0;5;M;10;0;1;1;FP
Male;30;African-American;4;1;0;11;F;10;0;1;1;FP
Male;27;Caucasian;0;1;3;4;M;4;1;0;1;FN
Male;28;African-American;0;0;0;0;M;2;1;0;1;FN
Male;24;African-American;0;0;0;0;M;7;0;0;0;TN
Male;43;Caucasian;0;0;0;0;M;1;0;0;0;TN
Male;44;African-American;0;0;0;10;M;4;1;0;1;FN
Male;51;African-American;0;0;0;4;F;7;0;0;0;TN
Male;24;Hispanic;0;0;0;11;F;10;1;1;0;TP
Male;31;African-American;0;0;0;1;F;3;1;0;1;FN
Male;23;African-American;0;0;0;0;F;3;0;0;0;TN
Male;26;African-American;2;1;0;8;M;10;1;1;0;TP
Male;36;Caucasian;0;0;0;5;M;3;1;0;1;FN
Male;27;Caucasian;0;0;0;1;F;9;0;1;1;FP
Male;24;African-American;0;0;0;0;F;10;1;1;0;TP
Male;66;Caucasian;0;0;0;0;M;1;0;0;0;TN
Female;36;Caucasian;0;0;1;3;F;4;0;0;0;TN
Male;53;Hispanic;0;0;0;9;F;8;1;1;0;TP
Male;23;Caucasian;0;0;0;1;F;3;1;0;1;FN
Female;22;African-American;0;0;0;0;M;7;1;0;1;FN
Male;25;Hispanic;0;0;1;1;F;3;0;0;0;TN
Male;56;African-American;0;0;0;4;F;1;0;0;0;TN
Male;29;Native American;0;0;0;1;F;2;0;0;0;TN
Male;29;Caucasian;0;0;0;10;F;6;1;0;1;FN
Male;51;Asian;0;0;0;1;F;1;1;0;1;FN
Female;58;African-American;0;0;0;3;M;1;0;0;0;TN
Male;24;Caucasian;0;1;2;3;M;5;0;0;0;TN
Male;22;African-American;0;0;0;0;F;3;1;0;1;FN
Male;39;Caucasian;0;0;0;0;M;1;0;0;0;TN
Male;20;Hispanic;0;0;0;3;F;10;1;1;0;TP
Male;46;Caucasian;0;0;0;10;F;7;1;0;1;FN
Male;38;Caucasian;0;0;0;1;F;1;1;0;1;FN
Male;23;Caucasian;0;0;0;0;M;8;1;1;0;TP
Male;39;Other;0;0;0;6;F;5;0;0;0;TN
Male;25;African-American;0;0;0;0;F;8;0;1;1;FP
Male;31;African-American;0;0;0;19;F;9;1;1;0;TP
Female;25;African-American;0;0;0;1;M;3;1;0;1;FN
Male;26;African-American;0;0;0;6;F;6;0;0;0;TN
Male;25;African-American;0;0;1;2;F;9;0;1;1;FP
Male;37;Caucasian;0;0;0;11;F;8;1;1;0;TP
Male;36;African-American;0;0;0;0;F;1;0;0;0;TN
Male;26;African-American;0;0;0;1;F;6;1;0;1;FN
Male;21;Other;0;2;0;3;F;2;1;0;1;FN
Male;35;African-American;0;0;0;7;F;4;1;0;1;FN
Male;22;African-American;0;0;0;2;F;4;1;0;1;FN
Male;25;Caucasian;0;0;0;0;F;2;0;0;0;TN
Male;24;Caucasian;0;0;0;0;M;7;0;0;0;TN
Male;36;Hispanic;0;0;0;0;M;1;0;0;0;TN
Male;24;African-American;0;0;0;2;M;7;1;0;1;FN
Male;21;African-American;0;0;1;0;F;9;1;1;0;TP
Male;32;Caucasian;2;0;1;15;F;9;1;1;0;TP
Male;33;African-American;0;0;0;2;M;2;1;0;1;FN
Male;33;African-American;0;0;0;10;F;9;1;1;0;TP
Female;23;African-American;0;0;0;4;M;8;1;1;0;TP
Male;29;Caucasian;0;0;0;0;M;3;0;0;0;TN
Male;50;Caucasian;0;0;0;8;F;3;0;0;0;TN
Male;32;Caucasian;0;0;0;5;F;5;1;0;1;FN
Male;33;African-American;0;0;0;14;F;8;1;1;0;TP
Male;37;African-American;0;1;0;13;F;8;1;1;0;TP
Male;27;African-American;0;0;0;9;F;7;1;0;1;FN
Male;27;African-American;0;0;0;0;M;1;0;0;0;TN
Female;52;African-American;0;0;0;21;F;7;1;0;1;FN
Male;21;Hispanic;0;0;0;1;M;5;1;0;1;FN
Male;58;African-American;0;0;0;1;F;1;0;0;0;TN
Male;27;African-American;0;0;0;4;F;8;0;1;1;FP
Male;28;African-American;0;0;0;5;F;4;1;0;1;FN
Male;28;Caucasian;0;0;0;1;F;7;1;0;1;FN
Female;31;Caucasian;0;0;0;0;M;3;0;0;0;TN
Male;30;Caucasian;0;1;0;11;F;9;1;1;0;TP
Male;24;African-American;0;0;0;3;M;7;0;0;0;TN
Male;26;African-American;0;0;0;6;F;9;1;1;0;TP
Male;43;Caucasian;0;0;0;0;M;1;0;0;0;TN
Male;31;African-American;0;0;1;2;F;1;1;0;1;FN
Male;22;African-American;0;0;0;3;F;6;1;0;1;FN
Male;23;African-American;0;0;0;0;F;5;0;0;0;TN
Male;42;Caucasian;0;0;0;0;M;4;0;0;0;TN
Male;34;African-American;0;0;0;0;M;2;1;0;1;FN
Male;30;African-American;0;3;0;18;M;10;0;1;1;FP
Male;29;African-American;0;0;0;1;F;9;0;1;1;FP
Male;38;Caucasian;0;0;0;2;F;4;1;0;1;FN
Male;26;Caucasian;0;0;1;3;M;4;1;0;1;FN
Female;25;Hispanic;0;0;0;4;F;6;1;0;1;FN
Male;51;African-American;0;0;0;5;M;7;0;0;0;TN
Male;36;Other;0;0;0;0;M;1;0;0;0;TN
Male;62;Hispanic;0;0;0;0;M;1;0;0;0;TN
Male;23;African-American;0;0;0;0;F;3;1;0;1;FN
Male;34;African-American;0;0;0;7;F;5;1;0;1;FN
Male;35;African-American;0;0;0;1;M;2;0;0;0;TN
Male;22;Caucasian;0;0;0;0;F;3;0;0;0;TN
Male;29;African-American;0;0;0;10;M;10;1;1;0;TP
Male;40;African-American;0;0;0;0;F;2;0;0;0;TN
Male;36;African-American;0;0;0;2;F;2;0;0;0;TN
Male;26;African-American;0;0;0;8;F;8;1;1;0;TP
Male;25;African-American;0;0;0;1;F;3;1;0;1;FN
Male;69;Caucasian;0;0;0;0;M;1;0;0;0;TN
Male;27;African-American;0;1;0;1;F;4;0;0;0;TN
Male;20;Caucasian;0;0;0;0;F;5;1;0;1;FN
Male;27;African-American;0;0;0;1;F;1;0;0;0;TN
Female;24;African-American;0;0;0;6;M;6;0;0;0;TN
Male;42;Caucasian;0;0;0;0;F;1;0;0;0;TN
Male;25;Caucasian;0;0;0;1;F;3;0;0;0;TN
Male;46;Caucasian;0;0;0;1;F;1;1;0;1;FN
Male;25;African-American;0;0;0;0;F;4;0;0;0;TN
Male;22;African-American;0;0;0;0;F;3;0;0;0;TN
Male;21;Caucasian;0;0;0;0;F;4;0;0;0;TN
Male;30;African-American;0;0;0;1;M;2;0;0;0;TN
Male;46;Caucasian;0;0;0;9;M;5;0;0;0;TN
Male;26;African-American;0;0;0;2;M;7;0;0;0;TN
Male;33;African-American;0;0;0;0;F;5;1;0;1;FN
Male;40;African-American;0;0;0;1;M;1;0;0;0;TN
Male;34;Caucasian;0;0;0;0;F;4;0;0;0;TN
Male;22;Caucasian;0;0;0;1;F;2;1;0;1;FN
Male;28;Hispanic;0;0;0;3;M;5;0;0;0;TN
Male;31;African-American;0;0;0;4;M;3;1;0;1;FN
Male;59;Caucasian;0;0;0;3;M;1;1;0;1;FN
Male;37;Native American;0;0;0;0;F;2;0;0;0;TN
Male;50;African-American;0;0;0;0;F;1;0;0;0;TN
Female;21;Other;0;0;0;2;F;4;1;0;1;FN
Male;57;African-American;0;0;0;8;F;5;1;0;1;FN
Male;31;African-American;0;0;0;5;M;5;1;0;1;FN
Female;51;African-American;0;0;0;1;M;7;0;0;0;TN
Male;44;African-American;0;0;0;9;F;8;0;1;1;FP
Male;48;African-American;0;0;0;5;F;9;1;1;0;TP
Female;25;Caucasian;0;0;0;0;F;4;0;0;0;TN
Male;51;African-American;0;0;0;5;M;3;0;0;0;TN
Male;50;Caucasian;0;0;0;0;F;1;1;0;1;FN
Male;57;Caucasian;0;0;0;2;F;1;0;0;0;TN
Male;55;Caucasian;0;0;0;0;M;1;0;0;0;TN
Male;59;African-American;0;0;0;4;F;3;1;0;1;FN
Female;42;African-American;0;0;0;0;F;1;0;0;0;TN
Male;20;Hispanic;2;0;0;2;F;8;1;1;0;TP
Male;58;African-American;0;0;0;16;F;9;1;1;0;TP
Male;21;Other;0;0;0;0;F;4;0;0;0;TN
Male;32;African-American;0;0;0;21;F;9;1;1;0;TP
Female;24;Hispanic;0;0;0;0;M;4;0;0;0;TN
Male;42;African-American;0;0;0;1;F;4;0;0;0;TN
Male;29;African-American;0;0;0;8;F;8;1;1;0;TP
Male;21;African-American;0;0;0;1;F;6;0;0;0;TN
Male;31;Caucasian;0;0;0;1;M;2;1;0;1;FN
Male;56;Hispanic;0;0;0;8;M;4;0;0;0;TN
Male;58;Caucasian;0;0;0;0;M;1;0;0;0;TN
Male;22;African-American;0;0;1;1;F;7;1;0;1;FN
Male;46;Caucasian;0;0;0;1;M;1;1;0;1;FN
Male;50;Caucasian;0;0;0;0;M;2;1;0;1;FN
Male;46;African-American;0;0;0;2;F;9;0;1;1;FP
Female;44;African-American;0;1;0;11;F;8;1;1;0;TP
Male;35;African-American;0;0;0;4;M;5;0;0;0;TN
Male;30;African-American;0;1;0;14;F;9;1;1;0;TP
Male;42;African-American;0;0;0;2;F;5;0;0;0;TN
Male;46;African-American;0;0;0;5;F;1;1;0;1;FN
Male;42;African-American;0;0;0;0;F;10;1;1;0;TP
Male;37;African-American;0;0;0;12;F;3;0;0;0;TN
Male;29;Caucasian;0;0;0;7;F;10;1;1;0;TP
Male;32;African-American;0;0;1;8;F;4;0;0;0;TN
Male;31;Other;0;0;0;5;F;6;1;0;1;FN
Female;33;African-American;0;0;0;1;M;1;0;0;0;TN
Male;25;Caucasian;0;0;0;4;F;4;0;0;0;TN
Female;33;African-American;0;0;0;0;M;1;0;0;0;TN
Male;21;Hispanic;0;0;0;1;F;5;0;0;0;TN
Female;64;Caucasian;0;0;0;7;M;3;0;0;0;TN
Male;35;Caucasian;0;0;0;1;F;1;1;0;1;FN
Male;56;African-American;0;0;0;1;F;1;0;0;0;TN
Male;38;Caucasian;0;0;0;0;M;3;1;0;1;FN
Female;40;African-American;0;0;0;4;M;1;0;0;0;TN
Male;34;African-American;0;0;0;3;F;7;0;0;0;TN
Male;28;African-American;0;0;1;4;F;4;0;0;0;TN
Male;51;African-American;0;0;0;0;M;1;0;0;0;TN
Male;35;African-American;0;0;0;2;M;2;0;0;0;TN
Male;61;African-American;0;0;0;5;F;2;0;0;0;TN
Male;25;African-American;0;0;0;0;F;3;0;0;0;TN
Male;25;African-American;0;0;0;4;F;7;1;0;1;FN
Male;26;African-American;0;0;0;0;M;5;1;0;1;FN
Male;42;Caucasian;0;0;0;1;M;1;0;0;0;TN
Female;25;African-American;0;0;0;1;F;4;0;0;0;TN
Male;26;African-American;0;1;0;13;M;10;1;1;0;TP
Male;31;African-American;0;0;0;9;F;7;0;0;0;TN
Male;35;Caucasian;0;0;1;1;F;2;0;0;0;TN
Female;41;African-American;0;0;0;4;F;2;1;0;1;FN
Male;34;Caucasian;0;0;0;0;F;1;0;0;0;TN
Male;46;Caucasian;0;0;0;5;M;1;0;0;0;TN
Female;33;Caucasian;0;0;0;1;M;2;0;0;0;TN
Male;30;African-American;0;0;1;3;F;2;1;0;1;FN
Female;50;African-American;0;0;0;7;M;4;0;0;0;TN
Male;21;African-American;0;0;0;0;F;5;0;0;0;TN
Male;31;Hispanic;0;0;0;16;F;10;1;1;0;TP
Male;31;African-American;0;0;0;2;F;7;1;0;1;FN
Female;23;African-American;0;0;0;0;M;4;0;0;0;TN
Male;25;African-American;0;0;0;1;F;6;0;0;0;TN
Female;24;Caucasian;0;0;0;1;F;5;0;0;0;TN
Male;31;African-American;0;0;0;13;M;10;1;1;0;TP
Male;60;African-American;0;0;0;0;F;1;1;0;1;FN
Male;30;African-American;0;0;0;2;F;2;0;0;0;TN
Female;32;Other;0;0;0;0;M;1;0;0;0;TN
Male;46;Caucasian;0;0;0;0;M;1;0;0;0;TN
Male;21;Caucasian;0;0;1;0;M;4;1;0;1;FN
Male;28;African-American;4;0;0;6;M;9;0;1;1;FP
Male;35;African-American;0;0;0;0;F;8;1;1;0;TP
Male;34;Hispanic;0;0;0;2;F;3;1;0;1;FN
Male;41;Asian;0;0;0;2;F;8;1;1;0;TP
Female;40;African-American;0;0;0;7;M;4;0;0;0;TN
Male;23;African-American;0;0;0;1;F;10;1;1;0;TP
